label,x,y
1.1,579,390
1.2,728,62
1.3,371,114
1.4,554,294
1.5,287,248
1.6,431,245
2.1,491,485
2.2,686,159
2.3,144,442
2.4,98,96
2.5,481,522
2.6,100,231
2.7,278,96
2.8,67,295
2.9,417,133
3.1,406,275
4.1,589,310
5.1,294,509
5.2,360,104
5.3,112,62
6.1,189,390
6.2,449,503
6.3,83,387
7.1,136,277
7.2,792,397
8.1,343,409
9.1,338,384
9.2,186,276
9.3,713,476
9.4,723,112
9.5,233,440
9.6,572,310
9.7,294,85
9.8,794,146
9.9,157,232
9.10,104,464
9.11,391,31
9.12,239,192
9.13,147,380
9.14,501,282
9.15,340,399
9.16,114,552
9.17,447,238
9.18,623,356
9.19,735,267
9.20,775,466
9.21,771,45
9.22,156,255
9.23,635,193
9.24,594,479
