label,x,y
1.1,633,225
2.1,735,367
2.2,656,335
3.1,620,277
3.2,546,247
3.3,461,434
3.4,395,297
3.5,433,511
3.6,416,528
3.7,737,134
3.8,150,192
3.9,76,122
3.10,813,373
3.11,132,374
3.12,412,75
4.1,203,310
4.2,747,178
4.3,827,419
4.4,223,121
4.5,510,471
4.6,87,465
4.7,596,483
4.8,80,279
4.9,404,301
4.10,319,512
4.11,423,372
4.12,657,494
5.1,577,458
6.1,606,334
6.2,754,279
6.3,429,237
6.4,146,299
6.5,139,366
6.6,719,326
6.7,713,262
6.8,578,500
6.9,523,380
6.10,482,467
6.11,756,127
6.12,535,176
6.13,699,424
6.14,208,352
6.15,752,552
6.16,503,532
6.17,535,33
6.18,628,326
6.19,466,414
6.20,706,361
6.21,779,239
7.1,66,324
7.2,487,443
8.1,478,346
8.2,376,194
9.1,154,115
10.1,551,67
10.2,46,238
10.3,492,122
10.4,498,130
10.5,632,528
10.6,629,502
10.7,99,80
10.8,447,442
10.9,760,166
10.10,662,481
10.11,234,470
10.12,432,192
10.13,748,197
10.14,367,48
11.1,233,115
11.2,814,37
12.1,71,508
12.2,672,477
12.3,348,253
12.4,791,173
12.5,237,494
12.6,674,278
12.7,344,205
12.8,719,230
13.1,264,466
13.2,812,510
13.3,157,366
13.4,211,54
13.5,216,370
14.1,194,491
14.2,751,489
14.3,704,497
14.4,480,530
14.5,436,150
14.6,410,541
14.7,196,196
14.8,154,98
14.9,281,98
15.1,374,303
15.2,726,44
15.3,378,456
15.4,459,350
15.5,637,253
15.6,682,54
15.7,547,445
16.1,91,410
16.2,336,113
17.1,224,102
17.2,664,298
17.3,330,334
18.1,573,41
18.2,835,316
18.3,581,401
18.4,141,164
18.5,530,420
18.6,686,513
18.7,297,196
18.8,589,457
18.9,838,189
18.10,343,348
18.11,617,191
19.1,381,83
19.2,618,163
19.3,722,87
20.1,681,516
20.2,576,304
20.3,316,98
20.4,764,177
20.5,667,312
20.6,503,141
20.7,553,335
20.8,510,296
20.9,388,219
21.1,109,294
21.2,515,324
21.3,283,116
21.4,567,413
21.5,521,499
21.6,44,430
21.7,667,509
21.8,118,100
21.9,335,31
21.10,671,189
21.11,784,430
21.12,681,398
21.13,459,498
21.14,599,405
21.15,561,182
21.16,798,240
22.1,565,121
22.2,68,256
22.3,216,93
22.4,101,518
22.5,532,200
23.1,539,172
23.2,93,507
23.3,727,172
23.4,582,194
23.5,776,385
23.6,692,304
23.7,696,522
23.8,58,43
23.9,253,249
23.10,667,261
23.11,752,305
24.1,78,105
24.2,120,241
24.3,358,69
24.4,699,185
24.5,416,295
24.6,448,210
24.7,630,207
24.8,107,473
24.9,269,547
24.10,457,361
24.11,73,354
24.12,110,167
24.13,621,344
24.14,688,495
24.15,358,40
24.16,759,399
24.17,436,91
24.18,775,66
24.19,410,293
25.1,842,349
25.2,258,369
26.1,713,530
26.2,728,242
26.3,274,119
26.4,697,56
26.5,656,278
26.6,354,242
26.7,325,304
26.8,571,232
26.9,845,244
27.1,681,330
28.1,762,453
28.2,520,503
28.3,758,477
28.4,255,259
28.5,847,32
28.6,777,235
29.1,685,160
29.2,67,220
29.3,666,67
29.4,303,328
