label,x,y
1.1,821,201
1.2,349,215
1.3,377,321
2.1,823,310
2.2,560,84
2.3,622,150
2.4,349,103
2.5,118,376
2.6,400,441
2.7,536,149
2.8,766,174
2.9,88,336
2.10,549,468
2.11,61,519
2.12,225,209
2.13,558,328
2.14,601,144
2.15,238,337
2.16,71,344
2.17,61,166
2.18,556,477
2.19,544,62
2.20,552,485
2.21,395,334
2.22,540,148
2.23,343,56
2.24,812,65
2.25,389,61
2.26,163,236
2.27,463,444
3.1,149,261
3.2,497,122
3.3,596,84
3.4,162,299
3.5,584,123
3.6,541,246
3.7,480,476
3.8,778,275
3.9,351,111
3.10,205,424
3.11,668,286
3.12,387,168
3.13,742,248
3.14,495,205
3.15,159,321
3.16,256,510
3.17,362,53
4.1,208,434
4.2,584,189
4.3,700,203
4.4,805,438
5.1,468,448
6.1,171,179
6.2,294,553
6.3,493,111
6.4,656,437
6.5,720,265
6.6,319,527
6.7,364,276
7.1,843,117
7.2,442,379
8.1,430,498
8.2,634,185
8.3,71,194
9.1,62,235
9.2,403,31
9.3,543,433
9.4,353,59
9.5,124,74
10.1,549,505
10.2,513,91
10.3,109,397
11.1,751,212
11.2,300,109
11.3,771,527
11.4,210,134
12.1,310,190
12.2,607,257
13.1,771,395
13.2,656,171
13.3,569,134
13.4,550,95
13.5,811,488
14.1,363,168
14.2,169,474
15.1,395,267
15.2,248,111
15.3,564,220
15.4,635,101
15.5,582,439
15.6,723,417
15.7,235,452
15.8,807,259
15.9,828,322
15.10,314,253
15.11,841,544
15.12,426,516
15.13,669,410
15.14,189,175
15.15,344,129
